,_id,productAsin,username,ratingScore,reviewSummary,reviewUrl,reviewReaction,reviewedIn,date,country,countryCode,reviewDescription,isVerified,avatar,variant,reviewImages,position
68,64b56e29538101a3ad9602ed,B002Q5JE2C,Smr Riyaz,5,Good,https://www.amazon.in/gp/customer-reviews/R2UQ4ILPJJLK7S/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India on 1 June 2023,2023-06-01,India,,Good,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],79
69,64b56e29538101a3ad9602ee,B002Q5JE2C,Aditya singh,4,Good,https://www.amazon.in/gp/customer-reviews/R2F3JCMQZO2H59/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,One person found this helpful,Reviewed in India on 9 April 2023,2023-04-09,India,,"Low from market but check it's, quality",True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],80
70,64b56e29538101a3ad9602ef,B002Q5JE2C,Avu,5,Deep cleanse!,https://www.amazon.in/gp/customer-reviews/R2LGZ0FKP19JFI/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 24 June 2023,2023-06-24,India,🇮🇳,A deep cleansing facewash that won’t make your skin go dddrrrryyy..!It will leave your skin feeling fresh and supple with a lively glow.,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],21
71,64b56e29538101a3ad9602f0,B002Q5JE2C,Amazon Customer,4,Good product,https://www.amazon.in/gp/customer-reviews/RR0XX7XAC488J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,One person found this helpful,Reviewed in India 🇮🇳 on 23 May 2023,2023-05-23,India,🇮🇳,Good for everyday. Does the job.,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 50 ml (Pack of 1)Style Name: 50ml,[],22
72,64b56e29538101a3ad9602f1,B002Q5JE2C,Dinesh Kumar,4,Nice,https://www.amazon.in/gp/customer-reviews/R24Z9LS3TQJGUZ/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 27 May 2023,2023-05-27,India,🇮🇳,Good one,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],23
73,64b56e29538101a3ad9602f2,B002Q5JE2C,Shruti,4,Good,https://www.amazon.in/gp/customer-reviews/R34UMOYVY0IJ8J/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 26 May 2023,2023-05-26,India,🇮🇳,Good,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 100 ml (Pack of 1)Style Name: Pack of 1,[],24
74,64b56e29538101a3ad9602f3,B002Q5JE2C,Rajesh,4,Leakage on packaging,https://www.amazon.in/gp/customer-reviews/RRQCZXTAMXSFD/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,One person found this helpful,Reviewed in India 🇮🇳 on 14 May 2023,2023-05-14,India,🇮🇳,Product is good but packaging is very poor 😞 leak in the box 🎁,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 300 ml (Pack of 1)Style Name: 300ml,[],25
75,64b56e29538101a3ad9602f4,B002Q5JE2C,DEEPAK KUMAR,4,Use,https://www.amazon.in/gp/customer-reviews/R3UYTFQQ93EFBR/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 23 May 2023,2023-05-23,India,🇮🇳,Nice,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],26
76,64b56e29538101a3ad9602f5,B002Q5JE2C,Amazon Customer,4,Wow,https://www.amazon.in/gp/customer-reviews/R2UUP26B8JD7XB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 21 May 2023,2023-05-21,India,🇮🇳,Good one,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],27
77,64b56e29538101a3ad9602f6,B002Q5JE2C,Amit sen,5,Value dor money,https://www.amazon.in/gp/customer-reviews/R1NUDZ1DHNPCRB/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 26 June 2023,2023-06-26,India,🇮🇳,Got it in real low price. i don't have to explain about the quality of Himalaya products.,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],28
78,64b56e29538101a3ad9602f7,B002Q5JE2C,Jayagopal.K,4,Value for money,https://www.amazon.in/gp/customer-reviews/RM1LZ3OWKM0D7/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 13 May 2023,2023-05-13,India,🇮🇳,"Not sure whether neem quality exists but neem smell can be noticed.Suits for oily skin, cannot feel freshness moment you wash, later you can feel the goodness.",True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 300 ml (Pack of 1)Style Name: 300ml,[],29
79,64b56e29538101a3ad9602f8,B002Q5JE2C,Ginni chauhan,4,Good,https://www.amazon.in/gp/customer-reviews/RIKUDU37WLTXA/ref=cm_cr_arp_d_rvw_ttl?ie=UTF8&ASIN=B002Q5JE2C,,Reviewed in India 🇮🇳 on 10 May 2023,2023-05-10,India,🇮🇳,M using this since last 4 year,True,https://images-na.ssl-images-amazon.com/images/G/01/x-locale/common/grey-pixel.gif,Size: 400 ml (Pack of 1)Style Name: 400ml,[],30
